iteration,chain,θ[1],θ[2],θ[3],θ[4],θ[5],θ[6],φ[1],φ[2],φ[3],φ[4],μ,δ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,-1.5376182977570232,2.3053821791284643,-0.06743469031520433,-1.4324198434207436,-5.292343130521223,-1.2983437001199158,0.5203707590386872,9.290911222012673,-0.09536705361819157,0.10872823009306813,0.07092221504459109,0.5224782880071019,-20503.98958597431,15.0,1.0,0.9146312252860996,-20503.98958597431,20507.22400714111,0.36457588805933483,-1.0271015486614488,4.0,0.0,0.24451992957272242,0.24451992957272242
502,1,-1.545701600389215,2.276959383057608,-0.06502884000753895,-1.4526961343847906,-5.107029568400787,-1.290768662682507,0.5172255667549932,9.0949520269403,-0.0919646674840517,0.10611462923831656,0.07780770752963904,0.52446093659222,-20500.706717054643,15.0,1.0,0.9267139488021316,-20500.706717054643,20503.87974473236,-1.3891951764344412,-1.5858115128248755,4.0,0.0,0.24451992957272242,0.24451992957272242
503,1,-1.5970994852040432,2.103651348901652,-0.06985248649894032,-1.4343285004048696,-5.805389557015524,-1.3389687107571087,0.49766674440619935,7.986387354633046,-0.09878633377228493,0.10847948518814206,0.05487514427090194,0.5119725056030573,-20500.77352326383,15.0,1.0,0.9997610635683258,-20500.77352326383,20501.71626861384,-0.0875667671316478,-0.0960642659701989,4.0,0.0,0.24451992957272242,0.24451992957272242
504,1,-1.5899827551464831,2.4753263875556506,-0.054977573074256735,-1.3033644577177268,-5.001580921148701,-1.2529046525696308,0.5003301660617052,10.553892937424184,-0.07775002946797177,0.12694043106898403,0.0820201393064848,0.5344846185044462,-20504.119782769256,15.0,1.0,0.8771369439082607,-20504.119782769256,20505.927162240696,-0.03226792172063142,0.34769268838863354,4.0,0.0,0.24451992957272242,0.24451992957272242
505,1,-1.5200850602255394,2.1060740964751754,-0.07274728758686881,-1.4762465075294402,-5.154176618223374,-1.344043637899336,0.5272587864066336,8.000912297426321,-0.10288020073120578,0.10315776031070996,0.07599495601578055,0.5106750408516163,-20501.851727872276,15.0,1.0,0.6164436490254681,-20501.851727872276,20510.077636826074,0.2847766446029709,1.2429359966045013,4.0,0.0,0.24451992957272242,0.24451992957272242
506,1,-1.5655648880551893,2.043486910727183,-0.07660012852754855,-1.3381209855450058,-5.032773697671073,-1.242848282650868,0.5095773277291139,7.634024648106208,-0.10832894064318138,0.12175491080802768,0.08075084529896397,0.5371788739551083,-20502.56109815056,15.0,1.0,0.9855907560594356,-20502.56109815056,20505.69821960584,-0.07376446112903068,-0.1664241381258762,4.0,0.0,0.24451992957272242,0.24451992957272242
507,1,-1.5534238101096385,2.062285901074348,-0.06620428114657254,-1.3298991663068775,-4.954643768761136,-1.339862227704641,0.5142386315324359,7.742420972245454,-0.09362699228464429,0.12296211249351499,0.0839678002168546,0.5117438286333343,-20501.076074143715,15.0,1.0,0.9992756867624677,-20501.076074143715,20504.10644765785,-0.06303622278937837,-0.08058736262682942,4.0,0.0,0.24451992957272242,0.24451992957272242
508,1,-1.5793825966939077,2.314203780857281,-0.06801910213991774,-1.2724221956842534,-4.772254022159629,-1.2787809971352901,0.5043237038568076,9.35258556082853,-0.0961935367467125,0.1317424188935601,0.09198525274059384,0.527613907493132,-20501.807663839154,15.0,1.0,0.9176211074324947,-20501.807663839154,20503.65766743221,0.18790129101034836,0.18790129101034836,4.0,0.0,0.24451992957272242,0.24451992957272242
509,1,-1.5650494331877554,2.140364542175228,-0.05419576985895426,-1.3633278150500965,-5.32482756169194,-1.3685040037997787,0.5097743638983135,8.20934719275669,-0.07664439275778412,0.11812718711739333,0.06977958567393473,0.5044674291635327,-20502.746185990258,7.0,1.0,0.9726008573148057,-20502.746185990258,20506.832590321803,-0.09761847828121972,-0.16548735989272245,3.0,0.0,0.24451992957272242,0.24451992957272242
510,1,-1.6076515674833807,2.193333196244401,-0.061567550665691306,-1.3042568084889976,-5.352940814511601,-1.3492740529889813,0.4937437230723197,8.542040359029654,-0.08706966515351333,0.12680457335172537,0.0688055817493599,0.5093412644430677,-20500.670865293516,15.0,1.0,0.8832690452444986,-20500.670865293516,20504.080279533217,0.0721580055396771,0.3599515762653027,3.0,0.0,0.24451992957272242,0.24451992957272242
511,1,-1.5662551101000057,2.2452675363726553,-0.0639369307655944,-1.5161277769462498,-5.5580532944411125,-1.2954870106968317,0.5093136048664003,8.881324064749112,-0.0904204746252132,0.09833715650685458,0.062098922128609804,0.5232251003324215,-20501.358652643485,31.0,1.0,0.5362431262250252,-20501.358652643485,20505.529426669404,0.49723338494004565,1.7191624328224862,4.0,0.0,0.24451992957272242,0.24451992957272242
512,1,-1.5635265722664622,2.1686041194868433,-0.07465108762627834,-1.3780672777570087,-4.943869891637502,-1.3356458311641835,0.5103569331175387,8.385072902357484,-0.10557258056698518,0.11605619873877325,0.08442135012373471,0.5128238241099539,-20500.381388946626,31.0,1.0,0.6692013070146186,-20500.381388946626,20505.357372980412,-0.8152930520409427,1.4542708947556093,4.0,0.0,0.24451992957272242,0.24451992957272242
513,1,-1.563823996173773,2.1526500608106636,-0.07680101072797063,-1.4083397106933921,-5.114394186181117,-1.3113373695395913,0.5102431015492186,8.285338819761593,-0.10861303097545764,0.11191589214052305,0.07752172238245308,0.5190948356966099,-20500.08160696667,31.0,1.0,0.8983203404303752,-20500.08160696667,20501.85925326033,-0.0053591637188219465,0.22778850782560767,4.0,0.0,0.24451992957272242,0.24451992957272242
514,1,-1.5535890646904722,2.0557175942608272,-0.072779843704645,-1.338141241963265,-4.91226242726866,-1.2849239476216674,0.5141749002648471,7.704373816392166,-0.1029262420345031,0.1217519512619196,0.08576612074026102,0.5259958406365154,-20500.758949667586,15.0,1.0,0.9362938815729069,-20500.758949667586,20501.256871925998,0.0038639182603219524,0.13751095330007956,4.0,0.0,0.24451992957272242,0.24451992957272242
515,1,-1.610544449306934,2.200713786015309,-0.06730414001744571,-1.2286185077794682,-4.726694530188122,-1.377216577533574,0.4926736276829388,8.589455441458309,-0.0951824276165295,0.13885261816556113,0.09410470204009656,0.5022746040824531,-20501.847736509895,15.0,1.0,0.9434084766778325,-20501.847736509895,20503.715611854164,0.023453021840396104,0.16233937282959232,4.0,0.0,0.24451992957272242,0.24451992957272242
516,1,-1.552566603633413,2.081026321643594,-0.07688377379412394,-1.3609978441293302,-4.840001589737454,-1.3150310440486639,0.5145693443434374,7.852011501763134,-0.10873007562607523,0.11845792876610792,0.08892154677840153,0.5181370367370474,-20500.61000650339,15.0,1.0,0.7552351457063404,-20500.61000650339,20504.625346805737,0.03334812914545182,0.635890840087086,4.0,0.0,0.24451992957272242,0.24451992957272242
