iteration,num_leaves,type,count,proportion,observed_proportion
501,1643,-0.13202968692343608,229,0.1393791844187462,0.07743480574773816
501,1643,0.08165101396850624,653,0.39744370054777844,0.25598722724853645
501,1643,-2.4270176906430416,178,0.10833840535605599,0.06971793507184673
501,1643,-1.4399117849363843,53,0.03225806451612903,0.02261841405002661
501,1643,0.7981793588605735,367,0.22337188070602557,0.25039914848323575
501,1643,-0.6588015552361666,75,0.04564820450395618,0.03113358169238957
501,1643,1.3526378568771724,83,0.0505173463177115,0.27993613624268227
501,1643,2.1758707012574643,5,0.0030432136335970784,0.012772751463544438
506,1358,-0.6588015552361666,89,0.06553755522827688,0.03113358169238957
506,1358,-2.4270176906430416,178,0.13107511045655376,0.06971793507184673
506,1358,0.08165101396850624,598,0.44035346097201766,0.25598722724853645
506,1358,-1.4399117849363843,46,0.033873343151693665,0.02261841405002661
506,1358,-0.13202968692343608,223,0.1642120765832106,0.07743480574773816
506,1358,0.7981793588605735,180,0.1325478645066274,0.25039914848323575
506,1358,1.3526378568771724,42,0.030927835051546393,0.27993613624268227
506,1358,2.1758707012574643,2,0.0014727540500736377,0.012772751463544438
511,1075,-0.6588015552361666,60,0.05581395348837209,0.03113358169238957
511,1075,0.7981793588605735,167,0.15534883720930232,0.25039914848323575
511,1075,-0.13202968692343608,165,0.15348837209302327,0.07743480574773816
511,1075,0.08165101396850624,436,0.4055813953488372,0.25598722724853645
511,1075,-1.4399117849363843,37,0.03441860465116279,0.02261841405002661
511,1075,-2.4270176906430416,132,0.12279069767441861,0.06971793507184673
511,1075,1.3526378568771724,78,0.07255813953488371,0.27993613624268227
516,1430,0.7981793588605735,269,0.18811188811188811,0.25039914848323575
516,1430,-2.4270176906430416,162,0.11328671328671329,0.06971793507184673
516,1430,0.08165101396850624,614,0.42937062937062936,0.25598722724853645
516,1430,-0.13202968692343608,202,0.14125874125874127,0.07743480574773816
516,1430,1.3526378568771724,54,0.03776223776223776,0.27993613624268227
516,1430,-1.4399117849363843,52,0.03636363636363636,0.02261841405002661
516,1430,-0.6588015552361666,77,0.05384615384615385,0.03113358169238957
521,1759,0.08165101396850624,752,0.427515633882888,0.25598722724853645
521,1759,0.7981793588605735,379,0.21546333143831722,0.25039914848323575
521,1759,-0.13202968692343608,248,0.14098919840818647,0.07743480574773816
521,1759,-2.4270176906430416,183,0.10403638430926662,0.06971793507184673
521,1759,-0.6588015552361666,80,0.04548038658328596,0.03113358169238957
521,1759,1.3526378568771724,58,0.03297328027288232,0.27993613624268227
521,1759,-1.4399117849363843,58,0.03297328027288232,0.02261841405002661
521,1759,2.1758707012574643,1,0.0005685048322910744,0.012772751463544438
526,1248,-2.4270176906430416,158,0.1266025641025641,0.06971793507184673
526,1248,0.08165101396850624,470,0.3766025641025641,0.25598722724853645
526,1248,-0.13202968692343608,195,0.15625,0.07743480574773816
526,1248,0.7981793588605735,254,0.20352564102564102,0.25039914848323575
526,1248,-0.6588015552361666,55,0.044070512820512824,0.03113358169238957
526,1248,-1.4399117849363843,55,0.044070512820512824,0.02261841405002661
526,1248,1.3526378568771724,59,0.047275641025641024,0.27993613624268227
526,1248,2.1758707012574643,2,0.0016025641025641025,0.012772751463544438
531,2433,-0.13202968692343608,239,0.09823263460748048,0.07743480574773816
531,2433,0.08165101396850624,766,0.31483764899301275,0.25598722724853645
531,2433,0.7981793588605735,362,0.1487875051376901,0.25039914848323575
531,2433,-2.4270176906430416,251,0.10316481709823264,0.06971793507184673
531,2433,-1.4399117849363843,72,0.029593094944512947,0.02261841405002661
531,2433,-0.6588015552361666,84,0.0345252774352651,0.03113358169238957
531,2433,1.3526378568771724,533,0.21907110563090834,0.27993613624268227
531,2433,2.1758707012574643,126,0.051787916152897656,0.012772751463544438
536,1315,1.3526378568771724,56,0.04258555133079848,0.27993613624268227
536,1315,0.08165101396850624,584,0.444106463878327,0.25598722724853645
536,1315,-0.13202968692343608,182,0.13840304182509505,0.07743480574773816
536,1315,-2.4270176906430416,156,0.11863117870722434,0.06971793507184673
536,1315,-0.6588015552361666,84,0.06387832699619772,0.03113358169238957
536,1315,0.7981793588605735,208,0.15817490494296577,0.25039914848323575
536,1315,-1.4399117849363843,45,0.034220532319391636,0.02261841405002661
541,1382,-2.4270176906430416,168,0.12156295224312591,0.06971793507184673
541,1382,0.08165101396850624,612,0.44283646888567296,0.25598722724853645
541,1382,-0.13202968692343608,184,0.13314037626628075,0.07743480574773816
541,1382,-0.6588015552361666,91,0.0658465991316932,0.03113358169238957
541,1382,0.7981793588605735,157,0.11360347322720694,0.25039914848323575
541,1382,1.3526378568771724,119,0.08610709117221418,0.27993613624268227
541,1382,-1.4399117849363843,40,0.02894356005788712,0.02261841405002661
541,1382,2.1758707012574643,11,0.007959479015918957,0.012772751463544438
546,975,-1.4399117849363843,38,0.038974358974358976,0.02261841405002661
546,975,-2.4270176906430416,127,0.13025641025641024,0.06971793507184673
546,975,0.08165101396850624,445,0.4564102564102564,0.25598722724853645
546,975,0.7981793588605735,134,0.13743589743589743,0.25039914848323575
546,975,-0.6588015552361666,52,0.05333333333333334,0.03113358169238957
546,975,-0.13202968692343608,130,0.13333333333333333,0.07743480574773816
546,975,1.3526378568771724,48,0.04923076923076923,0.27993613624268227
546,975,2.1758707012574643,1,0.0010256410256410256,0.012772751463544438
551,1660,1.3526378568771724,57,0.03433734939759036,0.27993613624268227
551,1660,-2.4270176906430416,195,0.11746987951807229,0.06971793507184673
551,1660,0.08165101396850624,607,0.36566265060240966,0.25598722724853645
551,1660,-1.4399117849363843,66,0.03975903614457831,0.02261841405002661
551,1660,-0.13202968692343608,222,0.13373493975903614,0.07743480574773816
551,1660,-0.6588015552361666,94,0.056626506024096385,0.03113358169238957
551,1660,0.7981793588605735,417,0.2512048192771084,0.25039914848323575
551,1660,2.1758707012574643,2,0.0012048192771084338,0.012772751463544438
556,1327,-2.4270176906430416,152,0.1145440844009043,0.06971793507184673
556,1327,-0.13202968692343608,170,0.1281085154483798,0.07743480574773816
556,1327,0.7981793588605735,282,0.21250941974378296,0.25039914848323575
556,1327,1.3526378568771724,59,0.044461190655614165,0.27993613624268227
556,1327,0.08165101396850624,546,0.4114544084400904,0.25598722724853645
556,1327,-0.6588015552361666,71,0.053504144687264506,0.03113358169238957
556,1327,-1.4399117849363843,47,0.03541823662396383,0.02261841405002661
561,1085,-2.4270176906430416,130,0.11981566820276497,0.06971793507184673
561,1085,-0.13202968692343608,185,0.17050691244239632,0.07743480574773816
561,1085,-1.4399117849363843,40,0.03686635944700461,0.02261841405002661
561,1085,0.08165101396850624,455,0.41935483870967744,0.25598722724853645
561,1085,-0.6588015552361666,59,0.054377880184331796,0.03113358169238957
561,1085,0.7981793588605735,147,0.13548387096774195,0.25039914848323575
561,1085,1.3526378568771724,68,0.06267281105990784,0.27993613624268227
561,1085,2.1758707012574643,1,0.0009216589861751152,0.012772751463544438
566,1698,1.3526378568771724,238,0.14016489988221437,0.27993613624268227
566,1698,-2.4270176906430416,181,0.10659599528857479,0.06971793507184673
566,1698,-1.4399117849363843,58,0.03415783274440518,0.02261841405002661
566,1698,0.7981793588605735,397,0.23380447585394581,0.25039914848323575
566,1698,-0.13202968692343608,223,0.13133097762073026,0.07743480574773816
566,1698,0.08165101396850624,520,0.30624263839811544,0.25598722724853645
566,1698,-0.6588015552361666,77,0.04534746760895171,0.03113358169238957
566,1698,2.1758707012574643,4,0.002355712603062426,0.012772751463544438
571,1010,-2.4270176906430416,131,0.1297029702970297,0.06971793507184673
571,1010,-0.13202968692343608,160,0.15841584158415842,0.07743480574773816
571,1010,-0.6588015552361666,59,0.05841584158415842,0.03113358169238957
571,1010,0.08165101396850624,415,0.41089108910891087,0.25598722724853645
571,1010,-1.4399117849363843,39,0.03861386138613861,0.02261841405002661
571,1010,0.7981793588605735,161,0.1594059405940594,0.25039914848323575
571,1010,1.3526378568771724,45,0.04455445544554455,0.27993613624268227
576,1712,-2.4270176906430416,224,0.1308411214953271,0.06971793507184673
576,1712,-0.6588015552361666,89,0.051985981308411214,0.03113358169238957
576,1712,-0.13202968692343608,225,0.1314252336448598,0.07743480574773816
576,1712,0.08165101396850624,744,0.43457943925233644,0.25598722724853645
576,1712,0.7981793588605735,232,0.13551401869158877,0.25039914848323575
576,1712,1.3526378568771724,121,0.07067757009345794,0.27993613624268227
576,1712,-1.4399117849363843,71,0.04147196261682243,0.02261841405002661
576,1712,2.1758707012574643,6,0.0035046728971962616,0.012772751463544438
581,1292,0.08165101396850624,552,0.42724458204334365,0.25598722724853645
581,1292,-0.6588015552361666,72,0.05572755417956656,0.03113358169238957
581,1292,-2.4270176906430416,165,0.12770897832817338,0.06971793507184673
581,1292,0.7981793588605735,206,0.15944272445820434,0.25039914848323575
581,1292,-0.13202968692343608,168,0.13003095975232198,0.07743480574773816
581,1292,-1.4399117849363843,51,0.039473684210526314,0.02261841405002661
581,1292,1.3526378568771724,77,0.05959752321981424,0.27993613624268227
581,1292,2.1758707012574643,1,0.0007739938080495357,0.012772751463544438
586,1699,0.7981793588605735,319,0.1877575044143614,0.25039914848323575
586,1699,0.08165101396850624,681,0.4008240141259564,0.25598722724853645
586,1699,-2.4270176906430416,193,0.11359623307828134,0.06971793507184673
586,1699,-0.6588015552361666,84,0.049440847557386695,0.03113358169238957
586,1699,-0.13202968692343608,270,0.15891701000588582,0.07743480574773816
586,1699,-1.4399117849363843,48,0.028251912889935255,0.02261841405002661
586,1699,1.3526378568771724,101,0.0594467333725721,0.27993613624268227
586,1699,2.1758707012574643,3,0.0017657445556209534,0.012772751463544438
