iteration,chain,θ[1],θ[2],θ[3],θ[4],θ[5],θ[6],φ[1],φ[2],φ[3],φ[4],μ,δ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,-1.4884850584776987,2.1254679218343537,-0.057513473625000755,-1.4418411360528636,-5.249420648215491,-1.2991527677760768,0.539904075126385,8.118139005371733,-0.08133633441966337,0.1075059199892306,0.07246074412508544,0.522266970610565,-20248.724498145617,31.0,1.0,0.987982769553179,-20248.724498145617,20250.88446584503,-0.044785078236600384,-0.46965887133410433,4.0,0.0,0.2121113336035422,0.2121113336035422
502,1,-1.5323284522117595,2.2273792279430524,-0.040704214987787056,-1.2975106231418516,-4.921043560390343,-1.2730001117941492,0.5224393705197358,8.762965902213114,-0.05756445288147866,0.1278352762962275,0.08539038432993652,0.5291411513870963,-20249.95688506716,31.0,1.0,0.9004897625561104,-20249.95688506716,20251.33078374599,0.1845330319920322,-0.4554246448315098,4.0,0.0,0.2121113336035422,0.2121113336035422
503,1,-1.48753729905959,1.9145727939919615,-0.06507178816520431,-1.325241463849961,-4.595156206281004,-1.3163778305280456,0.5402879859349342,6.930483608158109,-0.092025405351101,0.12365130184286505,0.10050195457742829,0.5177882442097205,-20248.410116726063,23.0,1.0,0.9766951815308726,-20248.410116726063,20250.278922598885,-0.36249103618683876,-0.5552898712412571,4.0,0.0,0.2121113336035422,0.2121113336035422
504,1,-1.4726066259932407,1.9724827854866311,-0.05363170939726979,-1.2953890053623767,-4.451019810213756,-1.307733713010844,0.546372134982961,7.238124233905803,-0.07584669080287151,0.12816115206454065,0.10801232855273098,0.5200309985925637,-20248.783334602336,15.0,1.0,0.8989291575890554,-20248.783334602336,20249.983142610272,0.25746404024539515,0.2622463668085402,4.0,0.0,0.2121113336035422,0.2121113336035422
505,1,-1.548584924328378,2.115385007626736,-0.053683581491040515,-1.3595097384077024,-5.451096494091048,-1.3087729784696445,0.5161082786103396,8.056979671610314,-0.07592004902139077,0.11866965125499691,0.06551027705500803,0.5197608436621431,-20249.167044050853,15.0,1.0,1.0,-20249.167044050853,20252.294016361393,-0.32352631469620974,-0.4450941884970234,4.0,0.0,0.2121113336035422,0.2121113336035422
506,1,-1.5324216468350171,2.169007555627737,-0.05778115993459997,-1.3539744560442863,-5.168338638190807,-1.3008149010800625,0.5224028553906479,8.387610417324723,-0.08171490002916018,0.119460518986118,0.07545873570474539,0.5218331122554297,-20248.772529368944,15.0,1.0,0.9711295242683825,-20248.772529368944,20250.310361854135,0.07460603953586542,0.07460603953586542,4.0,0.0,0.2121113336035422,0.2121113336035422
507,1,-1.5350736531094087,2.1501247932893692,-0.05630330899977283,-1.3688489803162949,-5.149369968765528,-1.3033721375281908,0.5213648263175271,8.269661647574637,-0.07962490319396189,0.11734713438384523,0.07617781622105708,0.5211663133096656,-20248.46234732178,7.0,1.0,0.9512776932424379,-20248.46234732178,20249.302858463663,-0.01813857868182822,0.11791231023016735,3.0,0.0,0.2121113336035422,0.2121113336035422
508,1,-1.524788069654623,2.1273152714200325,-0.05024593180577593,-1.3338380730362316,-5.056858320862848,-1.2954985145132065,0.525402285226874,8.129394581486167,-0.07105847821380198,0.1223822803650212,0.07978425015922641,0.5232220907983384,-20247.438273525022,31.0,1.0,0.6704082550971726,-20247.438273525022,20251.242031269874,-0.10308860127770458,0.936249966151081,4.0,0.0,0.2121113336035422,0.2121113336035422
509,1,-1.490202834487849,1.95249864549838,-0.05535129516323057,-1.4331663854791876,-5.0662826144758855,-1.2672409103233593,0.5392089472992215,7.130447419381316,-0.07827855231475697,0.10863086947381219,0.07940917944777157,0.5306670625888504,-20250.33796312813,31.0,1.0,0.6326561235243398,-20250.33796312813,20252.546281856252,0.8413201252151339,1.3982117348750762,4.0,0.0,0.2121113336035422,0.2121113336035422
510,1,-1.4696441937970477,1.9640850728472796,-0.07051975665052085,-1.3934369903747115,-4.873099463697247,-1.2938019246069006,0.5475874273688364,7.192679729815749,-0.09972999627041686,0.11393531676120727,0.08746209916565982,0.5236661257670248,-20249.70435187274,15.0,1.0,0.9255414815960776,-20249.70435187274,20251.410995775437,-0.3108474559739989,-0.7756149839988211,4.0,0.0,0.2121113336035422,0.2121113336035422
511,1,-1.4513991448092043,2.0174717529777615,-0.05254422603828021,-1.23326760465501,-4.337431104579058,-1.3164748394829366,0.5551319983734057,7.486518088436625,-0.0743087570877334,0.13808012787056312,0.11432436631525725,0.5177631297705939,-20250.271957796103,15.0,1.0,0.9009058902690928,-20250.271957796103,20253.208232326553,-0.2919543766438437,-0.6691295853306656,4.0,0.0,0.2121113336035422,0.2121113336035422
512,1,-1.5410462879401985,2.0081735113348462,-0.055382356807520225,-1.3846826313195113,-5.574555288455405,-1.313314309802736,0.5190346080017262,7.434491118350097,-0.07832248011338101,0.1151385425844969,0.06158865212101637,0.5185819794693597,-20249.779817935698,15.0,1.0,1.0,-20249.779817935698,20252.20125000256,-0.43420932409208035,-0.6605597136731376,4.0,0.0,0.2121113336035422,0.2121113336035422
513,1,-1.5613414272355675,2.0331343730620066,-0.05841439569740799,-1.352831175662524,-5.567593325733359,-1.294680291211234,0.5111940218025363,7.574980520163169,-0.08261043063310296,0.11962452370372174,0.06180341464641357,0.5234361908441628,-20251.195036028636,7.0,1.0,0.9541101965940378,-20251.195036028636,20251.87219381696,0.041147536649077665,0.09879159478441579,3.0,0.0,0.2121113336035422,0.2121113336035422
514,1,-1.556393252074939,2.0683238353446707,-0.05496018602392106,-1.3690333680993612,-5.570751332615816,-1.2952371640028064,0.5130946545407633,7.777561650300181,-0.0777254404655774,0.11732117240264464,0.06170590384721086,0.5232904674460505,-20250.33243615318,7.0,1.0,1.0,-20250.33243615318,20251.724887089735,-0.02634755813778611,-0.06149195423859055,3.0,0.0,0.2121113336035422,0.2121113336035422
515,1,-1.408816463478091,2.0439828010247654,-0.05993235446568333,-1.4400619253724098,-4.410582513098743,-1.2793978191611652,0.5731474029557969,7.636864405217349,-0.08475714851032111,0.10773569601118507,0.11021841879276154,0.5274512106435217,-20250.846551071616,15.0,1.0,0.9799155114430358,-20250.846551071616,20252.64351073598,0.05567322358183446,0.05567322358183446,4.0,0.0,0.2121113336035422,0.2121113336035422
516,1,-1.4095750874081328,2.0443452060444183,-0.05914512014711067,-1.397398505715417,-4.5091661578609505,-1.2906399926812853,0.5728213932076477,7.63894041583446,-0.0836438310602301,0.11339497431748816,0.10491727684229946,0.5244946788722893,-20251.83829405417,15.0,1.0,0.7311237843588055,-20251.83829405417,20254.27868255478,0.672068963489437,0.7223442229296779,4.0,0.0,0.2121113336035422,0.2121113336035422
517,1,-1.4993243566663008,1.9854508062524017,-0.06396248165827158,-1.3116077981906855,-4.853448241831059,-1.2059336048246503,0.5355327316142066,7.308865802079354,-0.09045660904416801,0.12569092548609778,0.08832570349565162,0.5471858333184637,-20250.937877407974,15.0,1.0,0.9981465408157344,-20250.937877407974,20252.36858501722,-0.4534380475524813,-0.7989572175065405,4.0,0.0,0.2121113336035422,0.2121113336035422
518,1,-1.4956506976279051,2.0428754757118712,-0.0659352583994636,-1.4263900018375355,-4.783736688941485,-1.2279821063325829,0.5370102896910899,7.63052466818819,-0.09324653666709595,0.1095178201133711,0.09145864789109927,0.5411866485004925,-20252.37642826248,15.0,1.0,0.602309708070926,-20252.37642826248,20255.455182772366,1.229022002655256,1.229022002655256,4.0,0.0,0.2121113336035422,0.2121113336035422
519,1,-1.4391962067168804,2.0438570698316494,-0.05134516654255937,-1.4905232500023173,-5.247870551552757,-1.2817262376282355,0.5602360002352614,7.6361442951154945,-0.07261303088679275,0.10140550493460264,0.07251692647311435,0.5268375043844153,-20251.24346340171,15.0,1.0,0.7213158908845987,-20251.24346340171,20255.151539968745,-0.40175327860561083,1.1822299519299122,4.0,0.0,0.2121113336035422,0.2121113336035422
520,1,-1.5079775699144473,2.0249696056052517,-0.06676146821621698,-1.1786206874799976,-4.384834011031862,-1.2938908553291966,0.5320684260929986,7.528736288864882,-0.09441497379531438,0.14743839890532914,0.11164657185948185,0.523642841281302,-20251.53185939096,31.0,1.0,0.9315392988917807,-20251.53185939096,20253.37726150595,0.38105571204869193,-0.9131981753853324,4.0,0.0,0.2121113336035422,0.2121113336035422
521,1,-1.4514239775290765,1.955299783016337,-0.055234303282892444,-1.4312846669944868,-5.177026351477077,-1.307370465873427,0.5551216593916296,7.145443188660057,-0.07811310081089527,0.1088764418864741,0.07513166466352361,0.5201254570560491,-20251.18783250432,31.0,1.0,0.9628327583919196,-20251.18783250432,20253.194054645268,0.0028508550094556995,-1.5530286528519355,4.0,0.0,0.2121113336035422,0.2121113336035422
522,1,-1.4940098423847612,2.222046612370454,-0.05453355021917118,-1.3193316301780211,-4.636500364069653,-1.2002833758366758,0.5376715636152738,8.72798874740769,-0.07712208632430616,0.1245313289956667,0.09844569702786934,0.5487338816243132,-20249.666886168296,15.0,1.0,0.9169203343614375,-20249.666886168296,20253.506768942043,-1.1168035661066824,-1.2385697760582843,4.0,0.0,0.2121113336035422,0.2121113336035422
