iteration,chain,θ[1],θ[2],θ[3],θ[4],θ[5],θ[6],φ[1],φ[2],φ[3],φ[4],μ,δ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,-1.7230838743405568,2.381040214999093,-0.06068108144276245,-1.351601778928958,-5.927282529281148,-1.4555616187981228,0.452796308036783,9.833354834644783,-0.085816008355821,0.11980113314396636,0.05163057389387332,0.4829796255241751,-20527.816877219026,15.0,1.0,0.9184706418038748,-20527.816877219026,20528.394172335476,0.13856089665932814,0.13856089665932814,4.0,0.0,0.24237457381474617,0.24237457381474617
502,1,-1.6638617992177163,2.127508619257573,-0.06527794903682922,-1.233168140174979,-5.056576649768406,-1.4829008849521896,0.4733612928427922,8.130573517610518,-0.0923169608517836,0.13809660973590515,0.07979548740904077,0.47642239086163124,-20530.060705146636,15.0,1.0,0.941011379832568,-20530.060705146636,20531.303548462824,0.20391276412192383,0.20844879822834628,4.0,0.0,0.24237457381474617,0.24237457381474617
503,1,-1.670599174600709,2.088036179758946,-0.07353813846200315,-1.2722099865496985,-5.0818098009152575,-1.5211663908360848,0.4709754163327433,7.893401322627965,-0.10399863276463539,0.13177597149911746,0.07879506582934757,0.4673937656076731,-20530.33125598284,7.0,1.0,0.9781703567954075,-20530.33125598284,20531.851711483017,-0.34587184607153176,-0.3638470476398652,3.0,0.0,0.24237457381474617,0.24237457381474617
504,1,-1.6959298005730363,2.4620806262029826,-0.04937724595228891,-1.424204264139054,-6.56927266019139,-1.4273742460507506,0.46211229695705835,10.449566242475237,-0.06982997089835899,0.10980544983203913,0.03745420358357278,0.48983478263764046,-20530.223412019768,15.0,1.0,0.7669094737730037,-20530.223412019768,20532.18599812808,0.18751853467620094,0.5535216839089117,4.0,0.0,0.24237457381474617,0.24237457381474617
505,1,-1.7009829089632114,2.379515198316641,-0.06280772232538723,-1.4535409451165329,-6.220855285397801,-1.4517141834854506,0.4603642837431294,9.822114241529219,-0.08882353273432606,0.10600710761568716,0.044581886145050945,0.48390963620962796,-20528.46893716904,15.0,1.0,0.7453003124858875,-20528.46893716904,20533.6117549447,0.11958401088122628,0.8173135784309125,3.0,0.0,0.24237457381474617,0.24237457381474617
506,1,-1.6543779354017567,2.316777060175757,-0.0683026340841606,-1.3975102536549597,-5.5160203177085725,-1.4544390881127895,0.4767402662709186,9.370653101279483,-0.09659451146762675,0.11337976935130377,0.06341783430851762,0.48325078133725785,-20527.295882395752,15.0,1.0,0.9550901848769626,-20527.295882395752,20531.29589041569,-0.18294410304588382,-0.1988002034922829,3.0,0.0,0.24237457381474617,0.24237457381474617
507,1,-1.6573866751541195,2.2610073664683856,-0.06384123873407745,-1.4094260382315753,-6.012915405187906,-1.4154120691456038,0.4756656886055923,8.986788234400214,-0.09028514565643089,0.1117700944129107,0.04946659416456488,0.4927733068262063,-20528.292240233983,31.0,1.0,0.7588382974951405,-20528.292240233983,20529.1144781559,0.48504838347798795,0.6154635441271239,4.0,0.0,0.24237457381474617,0.24237457381474617
508,1,-1.62938857297103,2.3135869865588496,-0.06393244644910984,-1.3689065335234123,-5.111842152304778,-1.4400380859776203,0.48575959899880267,9.348260095289461,-0.09041413284402276,0.11733903021898509,0.0776207045513208,0.48674298683046435,-20528.3045631062,15.0,1.0,0.965350035613492,-20528.3045631062,20529.855011617292,-0.6617065030259255,-0.6617065030259255,4.0,0.0,0.24237457381474617,0.24237457381474617
509,1,-1.6815438830861484,2.098268224163309,-0.06442898996789834,-1.3420386130113806,-5.707339451439862,-1.3854063707640751,0.46712522368840825,7.954208567248804,-0.09111635142260191,0.12118386568567852,0.05763243709822898,0.5002220468791779,-20530.468206373534,15.0,1.0,0.9394930048704502,-20530.468206373534,20532.125410796645,0.12111012969398871,0.12111012969398871,3.0,0.0,0.24237457381474617,0.24237457381474617
510,1,-1.6382638898659023,2.069032068675786,-0.0677408543907862,-1.3987143270850773,-5.430743018565866,-1.3689934188330692,0.4825368840974777,7.781693993998512,-0.09580003500619087,0.11321606656454308,0.06618036182066482,0.5043439972946827,-20531.112258407215,15.0,1.0,0.8947583443684289,-20531.112258407215,20534.387248512154,0.24667196979135042,0.24667196979135042,4.0,0.0,0.24237457381474617,0.24237457381474617
