iteration,chain,θ[1],θ[2],θ[3],θ[4],θ[5],θ[6],φ[1],φ[2],φ[3],φ[4],μ,δ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,treeset
501,1,-1.2819704996073082,-0.15155518016373307,0.3174254345174073,-0.5007746394608277,-1.4986471745075423,6.044752702788891,2.0918923268728213,0.6303513764333704,-0.2143313912354492,0.33256180137756314,0.47268617558447706,20.54004409725078,-6868.041366603934,127.0,1.0,0.46396445217990223,-6868.041366603934,6874.221907509603,0.41925394947702443,2.0005540088150155,6.0,0.0,0.020239940109649492,0.020239940109649492,1
502,1,-1.7528651867075882,0.5168489439586328,0.6286195097852864,-0.8774554899077504,-1.492498064651565,5.973437091957886,2.6418109088900534,0.44279476972908144,0.7309347862445102,0.2116234870220005,0.4741417116111595,19.820535485701743,-6871.761535462994,127.0,1.0,0.7907172171454124,-6871.761535462994,6873.329455202017,0.29236033448160015,1.16747126620794,7.0,0.0,0.020239940109649492,0.020239940109649492,1
503,1,-1.4873397252693736,0.417385346765651,0.8215535690059471,-0.6871279871816941,-1.3614277514555557,5.948882744388049,3.053123536043553,0.540368051925783,0.5902720181317809,0.2659216441078743,0.5062554598514569,19.578682997389233,-6871.846403236658,127.0,1.0,0.9869984877727939,-6871.846403236658,6873.307841373162,-0.6696691499428198,-0.8045385795221591,7.0,0.0,0.020239940109649492,0.020239940109649492,1
504,1,-0.9503018771007328,0.40859393155474477,0.1726368915444691,0.004278300090050929,-1.4366042514155573,6.025468084909493,1.8766301005010693,0.808377272660449,0.5778390795080642,0.6096525709506354,0.48757940209842254,20.342942431119223,-6868.321891563286,127.0,1.0,0.997318845133208,-6868.321891563286,6874.928206876323,-0.012054643294504785,-0.08272389340982045,7.0,0.0,0.020239940109649492,0.020239940109649492,1
505,1,-0.542538558969417,-0.2952982409955096,-0.30729953979724833,0.1266090684954247,-1.1631708066284516,6.119712382993554,1.3093428172984154,1.097567185305655,-0.4176147773607684,0.7060500738961752,0.5590114051210081,21.32449029847984,-6873.579825704554,127.0,1.0,0.46268677260266866,-6873.579825704554,6876.393253752664,1.179283064901938,2.2630912705726587,7.0,0.0,0.020239940109649492,0.020239940109649492,1
506,1,-0.5694908609553977,-0.016088267186546403,0.2958232469749046,0.11715645594736704,-1.1018319868340107,6.077569398827261,2.0582733160596485,1.0756034514670554,-0.02275224565029596,0.6980865038627241,0.5764215701214703,20.87985251253604,-6871.641809077752,255.0,1.0,0.9790836899365374,-6871.641809077752,6875.403865227177,-0.7930960338308068,-1.505150697771569,7.0,0.0,0.020239940109649492,0.020239940109649492,1
507,1,-0.41262700690414056,0.30169771761093644,0.0863991605866677,0.18477220721902043,-1.224724917559005,6.101704326305314,1.7590948208957977,1.2098903610755551,0.4266650039823945,0.7570898417059284,0.5420687401282166,21.133345809983343,-6870.626276232059,127.0,1.0,0.8424981857632221,-6870.626276232059,6873.131802021677,-0.5607710185231554,0.7987369253469296,7.0,0.0,0.020239940109649492,0.020239940109649492,1
508,1,-0.34617768678750843,0.1434854136245048,0.17530600195146193,0.1636019958516106,-1.2239306423355365,6.098775213814746,1.8803905628522246,1.2717154472617898,0.20291901795048795,0.7380987874710293,0.5422840587658017,21.102417490053885,-6869.383310748423,31.0,1.0,0.8050213374321286,-6869.383310748423,6871.67621764319,-0.11030642024161352,0.5317393706554867,5.0,0.0,0.020239940109649492,0.020239940109649492,1
509,1,-0.2410541163179324,0.04495938333345788,0.3069523420842272,0.1595093179045185,-1.2081253673597934,6.098928543595308,2.0755252549460215,1.376039454958197,0.06358216966610702,0.7344827136384086,0.5465865110668437,21.104035366591795,-6870.590314503144,31.0,1.0,0.6980941257779747,-6870.590314503144,6872.205248536057,0.09840256893312471,0.8024079213928417,4.0,0.0,0.020239940109649492,0.020239940109649492,1
510,1,-1.2203828384675859,-0.4373850393207529,-0.2261765384425289,-0.19219211813423226,-1.1937370105793017,6.092322743406234,1.3914795370079092,0.6601507051767244,-0.6185558545864982,0.48160522212616924,0.55053293053503,21.0344458330863,-6872.737514012591,127.0,1.0,0.7762080798116655,-6872.737514012591,6874.636878399497,0.268811101573192,0.6644720578215129,7.0,0.0,0.020239940109649492,0.020239940109649492,1
