iteration,chain,θ[1],θ[2],θ[3],θ[4],θ[5],θ[6],φ[1],φ[2],φ[3],φ[4],μ,δ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,treeset
534,1,-0.4177581409175297,-0.3859634638036123,0.5223965535740923,-2.878880748149915,0.2858561510093328,2.7372541480486747,2.4395105262378833,1.2052432265239865,-0.5458347650915657,0.019165243059156976,1.1536468232164017,3.929951457502444,-44584.94719065114,31.0,1.0,0.540489438960312,-44584.94719065114,44587.43546838263,0.11644643606268801,1.9109283553843852,4.0,0.0,0.13599387259912576,0.13599387259912576,1
535,1,-0.3407380739155198,-0.40333138032596666,0.5217178543622019,-2.2446711914875386,0.3839666768812748,2.7336285304415235,2.438269071826321,1.276914274691556,-0.570396708187643,0.04102369592709082,1.2116503288128377,3.922833660454488,-44584.295527961556,23.0,1.0,0.8720117771612415,-44584.295527961556,44586.81730015216,-0.03570391016546637,0.6421148301087669,4.0,0.0,0.13599387259912576,0.13599387259912576,1
536,1,-0.3952664015107651,-0.4128494547673731,0.4931126931430189,-2.1397126752340725,0.3104763437666448,2.6931065053722714,2.386515899854934,1.2257466871916727,-0.5838572981503567,0.04653013041654634,1.1679360975216202,3.8441528465448664,-44587.564163936375,31.0,1.0,0.8026287157107431,-44587.564163936375,44589.53614654742,0.33813890611054376,0.41555572766810656,4.0,0.0,0.13599387259912576,0.13599387259912576,1
537,1,-0.41468523984040284,-0.4015054989705662,0.5132463124840116,-2.428955096866698,0.3255147462026624,2.710841949539008,2.4228262590261838,1.2080241247342383,-0.5678145220115515,0.03288475454690723,1.176751143568814,3.878393318750846,-44584.97759037375,15.0,1.0,1.0,-44584.97759037375,44589.56511507521,-0.17468771227868274,-0.3183343097407487,4.0,0.0,0.13599387259912576,0.13599387259912576,1
538,1,-0.37755649080609305,-0.41138066435120635,0.5363902423484662,-2.593846102192112,0.3564676367489148,2.784200885455228,2.4652486676092766,1.2421361907595179,-0.5817801148235301,0.026981189994574863,1.195104726012885,4.023291878272052,-44587.08327552331,31.0,1.0,0.9897852277984397,-44587.08327552331,44587.41477022174,-0.04772544084698893,-0.0684257386092213,5.0,0.0,0.13599387259912576,0.13599387259912576,1
539,1,-0.4212476011366036,-0.4067800990005259,0.5192463104703395,-2.184350537677359,0.3609385056234102,2.6896799197987975,2.433753541470195,1.2020931141739135,-0.575273932910014,0.04410330106660098,1.1977792925688524,3.8375723259906556,-44586.43263973846,31.0,1.0,0.9393987672528211,-44586.43263973846,44588.32644280742,-0.07250639091216726,0.2007906407234259,5.0,0.0,0.13599387259912576,0.13599387259912576,1
540,1,-0.2210691984540806,-0.3645331724870153,0.44583133937790553,-1.9635933043340064,0.21146158339758653,2.7686695460310617,2.3033705449558326,1.3968198277952824,-0.5155277564660279,0.057480359398876225,1.1115226051128912,3.9921693225395685,-44587.786048352325,47.0,1.0,0.909699420506214,-44587.786048352325,44590.590048705424,0.1934812112885993,0.24800987527851248,5.0,0.0,0.13599387259912576,0.13599387259912576,1
541,1,-0.24720021389894165,-0.3638042003887032,0.4701768884379365,-2.4970693723208393,0.2029019460506709,2.766598531734319,2.3458144765000157,1.3697110971039108,-0.5144968342380033,0.030303767120517498,1.1067756551997598,3.9880375422817664,-44587.62667322184,15.0,1.0,0.32463464423559574,-44587.62667322184,44591.20303173678,0.8280278482634458,2.551975626796775,4.0,0.0,0.13599387259912576,0.13599387259912576,1
542,1,-0.3500231999044005,-0.3507553068620796,0.480781418419162,-2.6915544975627066,0.16599677079089664,2.732733499986302,2.3645460625935555,1.2680529325686543,-0.4960429120386898,0.02399606555994611,1.0865400542143047,3.9210785254101714,-44587.69155314781,31.0,1.0,0.9915805069877218,-44587.69155314781,44590.505015867784,-0.02077853714581579,-0.5547027987486217,5.0,0.0,0.13599387259912576,0.13599387259912576,1
543,1,-0.3145735513640323,-0.35806763527910296,0.47246980451538484,-1.8742165748226733,0.25949083438256026,2.7098998221893265,2.3498520139513497,1.3022191355220951,-0.5063841060585703,0.06398798870071713,1.1385384940981176,3.8765667787837277,-44586.56310109507,31.0,1.0,0.5559343760250433,-44586.56310109507,44590.13555242146,-0.3483724934849306,2.746478277091228,5.0,0.0,0.13599387259912576,0.13599387259912576,1
544,1,-0.3733342736956306,-0.4075576642537919,0.5257080276695848,-2.985412506392785,0.3213544500005824,2.758418140947415,2.4455768382177543,1.2460758517650081,-0.576373576236813,0.01686533397748129,1.174305871058335,3.9717590033943773,-44584.92456187049,47.0,1.0,0.8080836997652437,-44584.92456187049,44587.91866706527,-0.30290787501144223,1.0587528718460817,5.0,0.0,0.13599387259912576,0.13599387259912576,1
545,1,-0.3811866708887412,-0.4054646319769445,0.5442886861130496,-2.5749907038503714,0.3910137813082072,2.7541573289516212,2.4798957291236636,1.238758906856822,-0.5734135816044107,0.027598638294817433,1.2159271724268648,3.9633065509658993,-44584.48110778402,31.0,1.0,0.618025384257042,-44584.48110778402,44586.867681750504,-0.1431854698821553,1.2907511497251107,5.0,0.0,0.13599387259912576,0.13599387259912576,1
546,1,-0.44005823125726123,-0.3747524648846145,0.5354151641266445,-2.806523313745544,0.3157162079156066,2.735642991718535,2.463446468955973,1.1852530861069586,-0.5299800183725689,0.020903723531151046,1.1710000226497435,3.9267868492592877,-44586.47741732497,31.0,1.0,0.7228716802560523,-44586.47741732497,44587.87912198649,0.6466969046159647,0.7696281100434135,4.0,0.0,0.13599387259912576,0.13599387259912576,1
547,1,-0.39198411870007915,-0.3589013904425553,0.5118061108352796,-2.8903559053899377,0.26326333280615016,2.7230580228211574,2.420210653125835,1.2287678397310957,-0.5075632139184233,0.018903142772746708,1.140688088132892,3.9021551825418133,-44586.70937604491,31.0,1.0,0.9869860146801983,-44586.70937604491,44588.24267273861,-0.08262444972933736,-0.7224854683445301,5.0,0.0,0.13599387259912576,0.13599387259912576,1
548,1,-0.26216819942393743,-0.36381737943917614,0.47401318169833834,-2.551648088195639,0.2214303108727166,2.732855075844561,2.3525736198078433,1.3544207205759153,-0.5145154722299213,0.028382636664644186,1.1170766683162103,3.9213168868983623,-44586.40962947497,31.0,1.0,0.9575506901679058,-44586.40962947497,44589.81683274779,-0.18606213747989386,-0.4259866535794572,5.0,0.0,0.13599387259912576,0.13599387259912576,1
549,1,-0.2890225164852715,-0.3658023535724661,0.4739708283578362,-2.3698459141253974,0.23595524922631506,2.7332095989968144,2.3524988914810407,1.3274145628609846,-0.5173226495701798,0.03530201985644766,1.1252189338767373,3.922012047321022,-44584.558450107055,7.0,1.0,0.987049905664663,-44584.558450107055,44586.378519195525,-0.33755432579346234,-0.33755432579346234,3.0,0.0,0.13599387259912576,0.13599387259912576,1
550,1,-0.2515095293212998,-0.35597966859399677,0.47350429640356223,-1.6704507748651651,0.3273684791371793,2.742623621763691,2.3516758985426733,1.3652913553579806,-0.50343127525471,0.0817131014229718,1.177842340362836,3.9405165188875553,-44586.40377647047,15.0,1.0,0.9845501873599406,-44586.40377647047,44587.7486872057,0.0035410785931162536,0.04580661224463256,4.0,0.0,0.13599387259912576,0.13599387259912576,1
551,1,-0.3692358191829883,-0.42602066776615993,0.5118759394996392,-3.6663540471476317,0.3071232506457462,2.726298792775618,2.420337406502971,1.2499119834720953,-0.6024842062061458,0.007449377131640028,1.165979638779852,3.908483301788489,-44586.75767455601,31.0,1.0,0.9828454105175585,-44586.75767455601,44588.05701815724,0.027872110840689857,0.08048882082221098,5.0,0.0,0.13599387259912576,0.13599387259912576,1
552,1,-0.37595357123711404,-0.4156369117661059,0.5353620228802228,-3.8803388622617736,0.3416288411468845,2.7374334058024763,2.4633482879506436,1.2436303720298394,-0.5877993576424965,0.005762368823627516,1.1862705811788352,3.9303037104236354,-44587.057106982786,31.0,1.0,0.6328429413075951,-44587.057106982786,44589.51164671827,0.0530615406751167,1.2680639754617005,5.0,0.0,0.13599387259912576,0.13599387259912576,1
553,1,-0.3231634130124784,-0.3614047180410096,0.49962224841052594,-1.493659667449628,0.3898498705007978,2.728112618310736,2.3981957560164116,1.293856689881903,-0.5111034537592202,0.10102456226750794,1.2152197628987234,3.912029563028405,-44587.373463278156,31.0,1.0,0.9626377039404207,-44587.373463278156,44588.893796245,0.32560785274836235,0.6908353448452544,5.0,0.0,0.13599387259912576,0.13599387259912576,1
554,1,-0.2979226588931467,-0.3831399514833747,0.43089510405482734,-3.0928621295588923,0.12665247301424956,2.694091138460164,2.277711766987197,1.3185834360263138,-0.5418417156747581,0.014825085668402835,1.065374346549035,3.846045852529526,-44590.815280984985,31.0,1.0,0.4515926192125632,-44590.815280984985,44593.63881756342,0.734561850404134,4.8280974244262325,5.0,0.0,0.13599387259912576,0.13599387259912576,1
555,1,-0.3757368948104069,-0.40198564357040906,0.5638560084983524,-2.207982680802903,0.466761817068345,2.776925577495004,2.5165577773377743,1.2438324874908824,-0.5684935490165495,0.042870162109300385,1.2628624227980396,4.008683121468295,-44588.89906773452,31.0,1.0,0.9191887423127718,-44588.89906773452,44592.03392865462,-0.07751334943895927,-0.6502594429184683,5.0,0.0,0.13599387259912576,0.13599387259912576,1
556,1,-0.3668102814551961,-0.3988621091911925,0.5683990986391605,-2.195719134698935,0.4631917034478252,2.7728643936274118,2.525147113946899,1.2521878344095843,-0.5640762043349229,0.04350571537275425,1.2606101524431284,4.000551380774364,-44588.677915554144,7.0,1.0,0.4975381141947322,-44588.677915554144,44590.95666629578,-0.3667162757337792,1.7317788405707688,3.0,0.0,0.13599387259912576,0.13599387259912576,1
557,1,-0.3937120966649961,-0.4010736126512791,0.5708234697156839,-2.2752760272819064,0.4479341104069913,2.7725750929714303,2.529742710938184,1.2271764083749177,-0.5672037425214123,0.03954439821954367,1.2510298038271384,3.9999727415561765,-44587.598170270794,7.0,1.0,0.9330076941411551,-44587.598170270794,44589.38344487849,0.10880587609426584,0.12763121552416123,3.0,0.0,0.13599387259912576,0.13599387259912576,1
558,1,-0.39011163435165586,-0.39919050144559176,0.5385151401172298,-2.1378567333758376,0.3997725822615301,2.7549327906957948,2.4691806009306507,1.2304946884195176,-0.5645406211148725,0.046633874559574066,1.2212638817295496,3.964843545222059,-44584.60013017611,15.0,1.0,0.9326740103558696,-44584.60013017611,44588.34925882451,-0.2062903765399824,-0.27495569125312613,4.0,0.0,0.13599387259912576,0.13599387259912576,1
559,1,-0.33792139251899206,-0.40999198012251536,0.5074878553032526,-3.3335965316072143,0.3097745503357688,2.7337284417162304,2.412385016347266,1.2796146214553674,-0.5798162187534617,0.011105488449809067,1.1675263444758617,3.9230296330051533,-44585.597263151176,31.0,1.0,0.3013878132084998,-44585.597263151176,44591.60149678444,0.6286562167588272,3.2526441052978043,5.0,0.0,0.13599387259912576,0.13599387259912576,1
560,1,-0.28979205961966736,-0.40033993715033744,0.4708431907367941,-2.308204734712394,0.2734819354130488,2.7312431208614565,2.3469870356389717,1.326648656833882,-0.5661661686775997,0.038012292616673445,1.146531121466325,3.918157667051341,-44584.47394536341,31.0,1.0,0.9033950499048371,-44584.47394536341,44588.6801602449,-0.14374424729612656,1.1171421677136095,4.0,0.0,0.13599387259912576,0.13599387259912576,1
561,1,-0.26029200920460815,-0.40441248310392586,0.4657884273710586,-2.5667810692705473,0.27592518407091926,2.7283277191949833,2.3381062820001772,1.3563279252973865,-0.5719256183985522,0.027871871654958382,1.147932607648704,3.9124503261637353,-44586.650343274414,7.0,1.0,0.7661576624169476,-44586.650343274414,44586.89385645549,0.456257608908345,0.4931385734525975,3.0,0.0,0.13599387259912576,0.13599387259912576,1
562,1,-0.26525564132990953,-0.40595430905543356,0.4623689821419606,-2.4459705976021695,0.26193340854441627,2.7236982457228467,2.3321176946215876,1.3512880774525167,-0.5741060895699931,0.03222010259221026,1.1399298258869326,3.90340450704959,-44585.66613560732,31.0,1.0,0.9940017163637384,-44585.66613560732,44590.747320316965,-0.4541220030223485,-0.4854820308901253,5.0,0.0,0.13599387259912576,0.13599387259912576,1
563,1,-0.28043085653908284,-0.42971433266457415,0.46216740863285943,-2.3577241628621928,0.2883858623795067,2.71665670668515,2.3317651514105173,1.3359957014018438,-0.6077078372003447,0.03581927955653835,1.1551069431851855,3.8896856840197462,-44587.44361370689,31.0,1.0,0.5032179599598652,-44587.44361370689,44591.134321898375,-0.0645829283457715,1.8883122484767227,5.0,0.0,0.13599387259912576,0.13599387259912576,1
564,1,-0.28856570411121407,-0.4278497236927956,0.45254717277197465,-2.249696030453869,0.2883494867815568,2.7055679095359273,2.3150016020749686,1.3278694253249501,-0.605070881903933,0.04077707525282118,1.1550859345233595,3.868179391080104,-44589.07334418272,15.0,1.0,0.8028413456627593,-44589.07334418272,44589.98246632383,0.47754183071810985,0.49258916696271626,4.0,0.0,0.13599387259912576,0.13599387259912576,1
565,1,-0.2807793994710024,-0.42908235682869084,0.4613845030509257,-2.139988672373386,0.29319154765227096,2.7020524469351836,2.3303963893395454,1.3356465081505484,-0.6068140884021465,0.04651472234877253,1.1578858206634721,3.861386143190219,-44589.6709262349,31.0,1.0,0.40918668068944786,-44589.6709262349,44592.916608025494,0.17376449355651857,2.924930310342461,5.0,0.0,0.13599387259912576,0.13599387259912576,1
566,1,-0.2629908328245328,-0.4262396964367117,0.4589230944893435,-2.123224260370509,0.2844145067989895,2.7218484253932873,2.3260983145859697,1.3535853345161901,-0.6027939595225887,0.04745994853107737,1.152815548721175,3.899795877630041,-44589.26787139775,31.0,1.0,0.9940420692256278,-44589.26787139775,44592.015456750414,0.10833401195850456,-0.8476923960261047,5.0,0.0,0.13599387259912576,0.13599387259912576,1
567,1,-0.3954814263926709,-0.34503982876592043,0.5179373719799959,-3.2244215837261705,0.21399498382190985,2.7582411624803216,2.4313654885775344,1.2255490286026742,-0.48796000539965506,0.01266002483634529,1.1129314631446146,3.9714075610339967,-44588.57523781989,31.0,1.0,0.9976214788758564,-44588.57523781989,44591.79028865414,-0.6995065344308387,-0.9408672764402581,5.0,0.0,0.13599387259912576,0.13599387259912576,1
