iteration,chain,θ[1],θ[2],θ[3],θ[4],θ[5],θ[6],φ[1],φ[2],φ[3],φ[4],μ,δ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,treeset
501,1,-0.7146263169435666,-0.00038964146735993,-0.01696655967674178,-0.7614459341402097,-4.908860008122955,5.921775670056195,1.6278743438634846,0.9646694861513893,-0.0005510362476033666,0.24323307937607724,0.0859121510647647,19.315112778873058,-21127.8687866236,63.0,1.0,0.91415888636591,-21127.8687866236,21128.62055774887,0.07256467284605606,0.19958123037940823,6.0,0.0,0.02800095201254569,0.02800095201254569,1
502,1,-0.7038266142061805,-0.027721943700568324,-0.20503124673815537,-0.7483809096346298,-5.293125828184568,5.944417475368851,1.4137228795844496,0.9725148237699184,-0.03920474875668711,0.24707654500392587,0.07089446514889257,19.53501971429029,-21127.265251888526,127.0,1.0,0.9980887867310251,-21127.265251888526,21134.933259077337,-0.07445199130233959,-0.12340345023403643,6.0,0.0,0.02800095201254569,0.02800095201254569,1
503,1,-0.9302629162232118,0.0011148153591695673,0.22587223218395347,-1.0573951379400088,-4.394801994905458,5.964987145664838,1.9530732823162553,0.8206183092727866,0.0015765870004794352,0.1705248635652775,0.11109151060495602,19.736970908876515,-21127.40404105963,127.0,1.0,0.4391666024684224,-21127.40404105963,21133.663390140457,-0.5658703304870869,3.2275134488627373,7.0,0.0,0.02800095201254569,0.02800095201254569,1
504,1,-1.0559373964118248,0.13259848391968151,0.12342448028916553,-1.0166068291834003,-4.261608668205263,5.967169261106515,1.8086276625543605,0.7468035995889324,0.18752257430932437,0.17907900621428788,0.11874174739508786,19.758516835159853,-21128.298611601178,31.0,1.0,0.9948329582080873,-21128.298611601178,21129.160544516188,-0.02491366379399551,-0.37730630271471455,5.0,0.0,0.02800095201254569,0.02800095201254569,1
505,1,-0.451032611887493,-0.510741626978642,-0.3725894378096821,-0.8397659339816793,-5.509364576144645,5.993536667944187,1.2467721377371992,1.1755375602776166,-0.7222977357416959,0.22141442200731495,0.06362923222374334,20.020731946282005,-21127.345543366977,127.0,1.0,0.9992653726090456,-21127.345543366977,21129.157637137203,-0.13722156914809602,-0.3575501604573219,7.0,0.0,0.02800095201254569,0.02800095201254569,1
506,1,-0.6950196166608693,-0.07603055671405641,-0.09098388721609832,-0.805312118809918,-5.037915863755505,5.967766644675511,1.5399686892883815,0.9789597873787925,-0.10752344445979536,0.2307605831362289,0.08054349484181687,19.764419423295788,-21126.019578440148,191.0,1.0,0.8597199153716615,-21126.019578440148,21128.69338638276,0.2670748762175208,0.5043128868237545,7.0,0.0,0.02800095201254569,0.02800095201254569,1
507,1,-0.6138790681754736,-0.06851221567491067,-0.07260530349671045,-0.7608048768888408,-5.152008152711239,5.960986489174908,1.5613424910643685,1.040384856335001,-0.09689090459568923,0.24342026295925057,0.07607739692087748,19.697529949081677,-21126.99672552988,63.0,1.0,0.949685714116547,-21126.99672552988,21127.728643492766,0.20661965714680264,-0.44363412834718474,6.0,0.0,0.02800095201254569,0.02800095201254569,1
508,1,-0.6415269375309536,-0.22724502460995896,-0.2698240106707229,-0.7480656680110622,-4.594815142343439,6.004718113499176,1.346666112772019,1.0190336709770953,-0.3213729957852117,0.24717002925831894,0.10051909483504828,20.132975778110506,-21127.07758865691,127.0,1.0,0.6950691200285749,-21127.07758865691,21129.91365548582,0.04485677465709159,1.3273584853523062,7.0,0.0,0.02800095201254569,0.02800095201254569,1
509,1,-0.8036382896445006,-0.3291079513597886,-0.039189505442266015,-1.036610234364758,-4.384694783747813,5.98991380866217,1.6009670788213421,0.9023717381814506,-0.46542892829783794,0.1748315602833937,0.11165434425449777,19.984498625962665,-21127.950699351088,255.0,1.0,0.9830669344299475,-21127.950699351088,21129.380242794145,0.11800672854224104,-0.8499870074665523,7.0,0.0,0.02800095201254569,0.02800095201254569,1
510,1,-0.9044919080238739,-0.5608583404018636,-0.28138735516757546,-1.4618219566345962,-5.162360760841794,5.979089905756798,1.3350376365462788,0.836633706419695,-0.7931734715663815,0.10495890903304536,0.07568461463920194,19.8766356275167,-21126.62964948093,127.0,1.0,0.9381514739411129,-21126.62964948093,21130.711695423135,-0.6813664223373053,-0.7855606363664265,7.0,0.0,0.02800095201254569,0.02800095201254569,1
